"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K09612",668.38,381.44,1061.48,754.21,1048.3,415.47,193.6,406.05,513.25,368.97,2295.48,485.66,586.1,2534.12,181.33,525.91,282.16,185.63,103.83,184.15,102,235.35,448.65,1120.21,756.03,634.85,859.84,701.56,673.3
"K09645",2.67,3.33,2,2,5,0.66,0.67,1.66,0,0.33,2.67,1,0,0,0,0.33,0.33,0.33,0,0,0,0.33,1,7.33,1,2,3.33,5.66,1
"K09650",0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.33,1,0,0,0
"K09680",73.25,20.66,17.78,53.28,105.27,32.75,5.75,56,156.83,17.2,144.25,65.36,0.33,1,12.66,35.25,20.84,9.17,0,33.42,1.58,10.5,99.25,76.75,106.5,114.2,190.32,47.91,73.74
"K09681",392.55,97.17,117.55,212.61,371.28,383.28,39,187.17,59.17,107.83,259.78,240.39,2,5,30.5,99.39,55.5,44.11,8.5,74,38.11,64.5,101.72,646.89,752.77,444,804.2,187.72,242.78
"K09682",108.53,55,42.63,108.77,208.4,287.67,15.1,79.17,36.27,46.43,222.87,96.67,2,5,23,46.6,33.8,23.6,4,59.5,6.1,44,36.5,259.7,437.03,150.97,409.62,74,106.27
"K09683",80.33,48,332.33,469.67,602,101.67,102.5,465.17,2730.67,435.83,62.67,76.17,37,8,4,0,14.5,6.5,0,21.5,8,4,500.5,329,343.83,389.67,315.92,165,214.67
"K09684",765.86,256.67,558.55,973.54,1481.33,865.77,211.54,801.35,2830.02,629.06,1216.53,956.39,113.32,85.68,111,500.74,347.73,185.27,21,188.74,49.41,192.09,948.55,1636.43,1810.25,1211.62,1698.08,619,781.08
"K09685",714.7,243.86,617.83,927.26,1480.95,680.2,226.3,850.13,3021.1,687.55,1296.64,674.67,126.83,292.44,112.82,443.99,250.3,166.64,16.67,223.9,54.22,213.33,1012.47,1509.17,1535.3,1120.27,1699.43,678.88,748.2
"K09688",81.79,16.33,33.25,89.33,122.09,62.72,16.33,36.25,9.25,18.75,170.59,89.88,1,9.17,31.75,77,32.67,18.08,1,25.67,10,34.67,77.68,124.58,81.75,101.58,138.6,118.41,104.43
"K09689",127.79,17.83,34.25,123.33,123.09,94.72,16.33,36.25,9.25,30.25,192.09,91.38,1,9.17,33.75,77.5,33.67,18.08,1,25.67,10,35.17,88.68,125.58,128.25,152.58,139.6,118.41,104.43
