"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K19285",5,90,6.5,15.5,14,8,3,14,6,16,9,14
"K19286",0.33,1.66,0.67,2,0,2,0,0.67,1.33,0.33,2.33,1.32
"K19290",0,14,0,0,0,0,0,0,0,0,0,0
"K19291",0,14,0,0,0,0,0,0,0,0,0,0
"K19292",0,14,0,0,0,0,0,0,0,0,0,0
"K19293",0,14,0,0,0,0,0,0,0,0,0,0
"K19294",7,15.5,1,1,0.33,4.67,0,0,0,0,0,0.17
"K19295",0,14,0,0,0,0,0,0,0,0,0,0
"K19296",0,14,0,0,0,0,0,0,0,0,0,0
"K19299",0,0,0,0,1,0,0,0,0,4,0,0
"K19302",4122.53,1977.28,2013.68,1740.32,2446.85,9723.39,562.1,1135.38,3324.51,1715.38,948.71,4681.89
"K19303",252.73,612.61,113.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,136.77,467.78
"K19304",252.73,613.61,114.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,143.77,468.78
"K19309",0,2.5,1,0,6.33,0.67,0,1,1,4,0,1.17
"K19310",0,0.5,0,0,0.33,0.67,0,0,0,0,0,0.17
"K19311",24,160,10,15,19,314,5,19,1,291,18,84
"K19312",0,1.25,0,41.75,0,15.91,0.25,9,0,24,0,4.5
"K19332",0.4,0.2,0.6,0.4,1.6,0.2,0,0.2,0,1.6,0.2,0.2
"K19333",252.73,613.61,114.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,143.77,468.78
"K19334",234.74,579.16,106.26,803.88,66.27,166.79,135.43,304.74,266.9,518.92,69.69,425.5
"K19335",5.08,45.07,37.67,19.08,15.33,7.91,64.92,6.24,6.16,27,22.33,8.33
"K19336",5.48,45.27,38.27,32.48,14.93,8.11,40.92,6.44,6.16,28.6,22.53,8.53
"K19337",264.23,662.11,121.73,853.56,96.56,199.46,313.93,369.12,298.43,546.09,153.27,469.78
"K19338",251.63,221.31,96.33,130.13,79.16,121.16,277.1,304.32,78.93,189.86,116.47,139.98
"K19340",0,4,0,0,1,3.33,0,3,0,2,0,0
"K19341",0,0,0,0,1,2.33,0,3,0,2,0,0
"K19342",0,0,0,0,2,0,0,6,0,4,0,0
"K19345",0,0,0,0,1,0,0,3,0,2,0,0
"K19349",0,7,0,7,2,0,1,0,0,5,25,0
"K19350",11,7.5,15,15,16.33,8.67,3,75.5,3,6,156.34,104.17
"K19351",0,0,0.5,2.5,0,0,0,0,0,0,2,0
"K19353",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K19354",25.57,80.02,46.14,56.76,35.62,24.58,168.42,70.62,35.69,49.17,91.91,50.61
"K19355",17,7,6,1,0,0,1,1,0,5,3,0
"K19405",114,160.5,36.5,44.5,46.33,93.67,10,65,13,279,145,95.17
"K19411",114,160.5,36.5,44.5,46.33,93.67,10,65,13,279,145,95.17
"K19412",0,0,2,1,0,0,0,0,2,0,0,1
"K19416",290.73,410.61,135.73,219.56,117.56,157.46,263.43,380.12,84.93,315.09,259.77,236.28
"K19417",0,7,0,0,0,0,0,0,0,5,1,0
"K19418",0,7,0,0,0,0,0,0,0,5,1,0
"K19419",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K19420",0,7,0,0,0,0,0,0,0,5,1,0
"K19421",0,7,0,0,0,0,0,0,0,5,1,0
"K19422",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K19423",0,7,0,0,0,0,0,0,0,5,1,0
"K19424",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K19425",0,7,0,3,1,1,0,0,2,6,5,0
"K19426",165.5,8.48,3,1.37,7.99,2.88,10.25,40.62,0.74,9.01,3.61,4.35
"K19427",0,0,2,5,1,13,0,10,4,1,4,7
"K19428",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K19429",0,9,0,0,0,3,0,0,0,5,1,1
"K19430",0,7.5,0,0,0.33,0.67,0,0,0,5,1,0.17
"K19432",0,7,0,0,0,0,0,0,0,5,1,0
"K19433",0,7,0,0,0,0,0,0,0,5,1,0
"K19449",6,179.5,7,22,47.33,16.67,8,15,7,137,140,15.17
"K19504",0.5,4.5,3.5,5,2,0,26,2.5,0,1.5,10.67,12
"K19505",0.5,10.5,2.5,0,6,0,76,5,0,3.5,6.67,24
"K19506",0.5,4.5,2.5,3,3,1,26,5,2,2.5,10.67,24
"K19507",0.5,4.5,3,8.5,4,2,26,2.5,4,3.5,16.67,12
"K19508",0.5,7.5,3,8.5,6,2,51,2.5,4,4.5,16.67,12
"K19509",1,9,5.5,8.5,6,2,52,2.5,4,5,21.67,12
"K19510",0.5,36.5,3,2.5,2,0,26,2.5,0,415.5,8.67,12
"K19540",4.33,38.32,32.67,18.33,8.33,5.66,14.67,5.99,5.66,24,22.33,8.33
"K19546",0,7,0,0,0,0,0,0,0,5,1,0
"K19547",0,7,0,0,0,0,0,0,0,5,1,0
"K19548",0,7,0,0,0,0,0,0,0,5,1,0
"K19549",0,7,0,0,0,0,0,0,0,5,1,0
"K19550",0,7,0,0,0,0,0,0,0,5,1,0
"K19577",1661.31,1006.11,813.67,1131.32,940.34,3823.1,508.13,524.68,1486.09,1174.03,345.4,1660.74
"K19578",0,76,1,9,14,6,2,1,0,10,3,1
