"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K01134"	0	0	0	0	2.31315491198446e-05	0	9.48910650573142e-06	1.40965188646664e-05	0	0	4.5214088710042e-05
"K00811"	0.00109898221125063	0.000902545017911741	0.001479814085329	0.000326618715252384	0.000312275913117901	0.00116697765268998	0.000389053366734988	0.000225544301834662	0.00190746273695582	0.00104046353127595	0.000352669891938328
"K09054"	0	0	0	0	2.31315491198446e-05	0	0	0	0	0	0
"K02108"	0.00104157269275246	0.000842905479283212	0.00128528453420594	0.000866249636104149	0.00115657745599223	0.000773824753655386	0.00131898580429667	0.00202989871651196	0.00141793690180787	0.00103091799429177	0.00157345028710946
"K02109"	0.000590497904552575	0.000723626402026154	0.00028484684271591	0.000418924004345449	0.000809604219194559	0.000455558121103574	0.00053138996432096	0.00141670014589897	0.000464205533329957	0.000677733125876996	0.000479269340326446
"K02110"	0.000754525100261623	0.000667962832639527	0.00109075498308288	0.000695839871624644	0.00115657745599223	0.000917356764414046	0.00119562741972216	0.00160700315057197	0.00064988774666194	0.000496367923177518	0.000922367409684858
"K02111"	0.00148444612116689	0.00264799551510669	0.00280678352334702	0.00227213019306006	0.00252133885406306	0.00224034747227648	0.00396644651939573	0.00224839475891429	0.0032409986327037	0.0017468332681055	0.00232400415969616
"K02112"	0.00159106379837777	0.00137568535769807	0.00315415772178106	0.00232183304103325	0.00389766602669381	0.0021592206835868	0.00170803917103166	0.00186778874956829	0.00313127732482571	0.00138410286270654	0.00309264366776688
"K02113"	0.000377262550130812	0.000493020185995841	0.000194529551123061	0.000383421970078885	0.00101778816127316	0.000255861410482829	0.000427009792757914	0.000810549834718316	8.44010060599922e-05	5.72732219050983e-05	0.000262241714518244
"K02114"	0.000360859830559907	0.000341933354803567	0.000152844647310976	0.000355020342665635	0.000798038444634637	0.000149772532965559	0.000351096940712063	0.000479281641398657	0.000244762917573978	0.000162274128731112	0.000461183704842429
"K02115"	0.000549491105625313	0.000791217879138487	0.000826750592273008	0.00140588055695591	0.00235941801022414	0.000817508409103674	0.000920443331055948	0.00103609413655298	0.00137573639877787	0.000620459903971898	0.00231496134195415
"K02117"	0.000836538698116148	0.00280703428478277	0.000882330464022454	0.00103665940058365	0.000670814924475492	0.000854951542345063	0.000588324603355348	0.00197351264105329	0.000784929356357928	0.00116455551207033	0.000859067685490799
"K02118"	0.000549491105625313	0.00291438545431413	0.000479376393838971	0.000958554925197214	0.000751775346394948	0.000711419531586403	0.000483944431792302	0.00109248021201164	0.000953731368477912	0.000725460810797911	0.000461183704842429
"K02119"	1.64027195709049e-05	7.95193848380389e-06	1.38949679373615e-05	0.000120706916506316	3.46973236797668e-05	1.24810444137965e-05	7.59128520458514e-05	3.52412971616659e-05	0	0.000210001813652027	0
"K02120"	0.000426470708843526	0.00104965587986211	0.000333479230496676	0.000568032548265016	0.000312275913117901	0.000405633943448388	0.000237227662643285	0.000563860754586655	0.000320723823027971	0.00100228138333922	0.000262241714518244
"K02121"	0.000516685666483503	0.000556635693866272	0.000354321682402718	5.68032548265016e-05	1.15657745599223e-05	8.73673108965758e-05	1.89782130114628e-05	0.00183254745240663	0.000194122313937982	0.000945008161434121	0.00022607044355021
"K02122"	2.46040793563573e-05	0.000115303108015156	6.94748396868074e-05	7.1004068533127e-05	0.00015035506927899	6.24052220689827e-05	1.89782130114628e-05	4.93378160263323e-05	1.68802012119984e-05	5.72732219050983e-05	8.13853596780757e-05
"K02123"	0.00104977405253791	0.00057253957083388	0.000604431105275225	0.000596434175678266	0.00050889408063658	0.000561646998620845	0.000559857283838154	0.000704825943233319	0.000675208048479938	0.00115500997508615	0.000379798345164353
"K02124"	0.000639706063265289	0.000763386094445173	0.000514113813682375	0.000312417901545759	0.000439499433277047	0.00039939342124149	0.000313140514689137	0.00124049366009064	0.000523286237571952	0.00150819484350092	0.00045214088710042
