"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_3A","FS_3C","FS_3E"
"K09711",2.20216693226134e-06,7.7861502684178e-07,1.25173965734461e-06,2.95456761380256e-06,1.65128222064433e-06,2.20347554197235e-06,2.08881647658437e-06,1.45559529792813e-06,3.1602159986567e-06,0,6.25987495273794e-07,0,4.31438119154148e-07,4.28559826844688e-07,0,3.99875718626651e-07,1.92156886105347e-07
"K09712",6.00590981525821e-07,3.8930751342089e-07,4.17246552448205e-07,1.3636465909858e-06,1.23846166548325e-06,1.76278043357788e-06,2.08881647658437e-07,2.07942185418304e-07,4.21362133154226e-07,2.22538451609823e-06,2.50394998109518e-06,2.17935859732994e-06,3.23578589365611e-06,2.57135896106813e-06,5.81286977117832e-07,3.99875718626651e-07,7.68627544421388e-07
"K06073",0,0,0,0,0,0,0,0,0,2.02307683281657e-07,1.25197499054759e-06,2.17935859732994e-07,0,0,0,0,0
"K06074",0,0,0,0,0,0,0,0,0,2.02307683281657e-07,1.25197499054759e-06,2.17935859732994e-07,0,0,0,0,0
"K06075",8.0679388518302e-05,0.000101414607246142,9.90960562064486e-05,0.000101818945460273,0.000104856421010915,0.00010444474068949,8.31348957680578e-05,8.73357178756876e-05,7.68985893006463e-05,0.000111673841171475,0.000130831386512223,0.000111801096043026,0.000141943141201715,0.000170781090997608,0.000114707296817919,0.000112365076934089,0.000101266678977518
"K06076",0.000210407040527879,0.000228523510378062,0.000223226905559789,0.000231819920467585,0.000223335920342146,0.000271908881879388,0.000168985252955675,0.000150966026613689,0.000164541912996725,0.000219503836360598,0.000228485435774935,0.00026936872262998,0.000248508356632789,0.000241064902600137,0.000236196275035546,0.000222130961697105,0.000231356890870838
"K06077",7.36724937338341e-05,8.37011153854913e-05,7.09319139161948e-05,6.97732505721066e-05,8.81371885268911e-05,6.78670466927485e-05,5.61891632201195e-05,5.11537776129027e-05,6.53111306389051e-05,8.57784577114227e-05,8.22130243792917e-05,0.00013686371991232,0.000103113710477841,8.57119653689375e-05,7.78924549337895e-05,8.77727202385499e-05,0.000100305894546991
"K06382",2.60256091994523e-06,1.36257629697311e-06,2.29485603846513e-06,6.81823295492898e-06,3.92179527403028e-06,4.84764619233918e-06,2.71546141955968e-06,2.28736403960134e-06,4.42430239811938e-06,1.21384609968994e-06,1.46063748897219e-06,6.53807579198981e-07,1.07859529788537e-06,1.49995939395641e-06,5.81286977117832e-07,5.99813577939976e-07,1.92156886105347e-07
"K06383",2.60256091994523e-06,1.36257629697311e-06,2.29485603846513e-06,6.81823295492898e-06,3.71538499644974e-06,4.84764619233918e-06,2.71546141955968e-06,2.28736403960134e-06,4.42430239811938e-06,1.21384609968994e-06,1.46063748897219e-06,6.53807579198981e-07,1.07859529788537e-06,1.49995939395641e-06,5.81286977117832e-07,5.99813577939976e-07,1.92156886105347e-07
"K06380",2.0019699384194e-07,3.8930751342089e-07,2.08623276224102e-07,4.54548863661932e-07,4.12820555161083e-07,6.61042662591706e-07,2.08881647658437e-07,0,6.3204319973134e-07,2.02307683281657e-07,4.17324996849196e-07,2.17935859732994e-07,4.31438119154148e-07,2.14279913422344e-07,1.93762325705944e-07,1.99937859313325e-07,1.92156886105347e-07
"K06381",7.90778125675665e-05,8.1365270304966e-05,9.65925768917594e-05,9.3864340346189e-05,0.000106301292953979,0.000100037789605545,0.00013222208296779,0.000128924154959348,0.000131043623410964,7.02007660987351e-05,8.70122618430574e-05,5.94964897071073e-05,7.2697323077474e-05,7.02838116025288e-05,0.000103081557275562,0.000108566257607136,9.12745209000398e-05
