"WDG002"	"WDG004"	"WDG018"	"WDG033"	"WDG040"	"WDG048"	"WDG058"	"WDG087"	"WDG092"	"WDG127"	"WDG132"	"WDG140"	"WDG146"	"WDG154"
"K00148"	0	0	0	0	4.6672763629597e-07	0	0	0	0	0	0	0	0	0
"K00150"	0	0	0	0	0	0	0	0	0	0	0	0	3.06853317796096e-07	0
"K00151"	0	0	0	0	6.62867059832313e-06	0	0	1.11418473003792e-05	0	0	0	0	6.47194428786244e-06	0
"K00154"	0	0	0	0	1.29983788541171e-05	0	0	1.49905857561182e-05	0	0	0	0	1.17606056770267e-05	0
"K00155"	0	0	0	0	2.30964324970556e-06	0	0	3.29414927944489e-06	0	0	0	0	3.73172434630698e-06	0
"K00156"	0	0	0	3.00761620250579e-07	6.26317665715738e-07	0	0	1.30239397683014e-06	0	0	0	0	8.90982177015717e-07	0
"K00158"	0	0	1.88513097516527e-07	5.84822848723503e-07	0	0	0	1.85656712275871e-05	0	0	0	0	1.84658974161906e-05	3.44111723367561e-07
"K00161"	3.57494174399827e-07	0	2.10730822003065e-07	1.0754227059105e-06	9.95923882126572e-06	0	0	4.83862990054016e-05	0	0	0	2.96397916425468e-07	2.92053960386306e-05	5.52717654485012e-07
"K00162"	3.37793255829302e-07	0	0	1.02218027920889e-06	1.22560751055665e-05	3.33060144656264e-07	0	5.60351024989026e-05	0	0	0	4.60167341678492e-07	3.21161548156999e-05	3.88098371528311e-07
"K00163"	7.51695786131944e-07	3.20036249563187e-07	2.51091164580958e-07	8.90699152874648e-07	6.18548915977558e-05	3.21280590647665e-07	0	5.75694586981563e-05	0	0	0	0	3.94267019524778e-05	4.18707598984763e-07
"K00164"	4.8926041610807e-07	2.58183355697451e-07	0	6.00740145207617e-07	4.1443900092435e-05	2.46453751132405e-07	0	6.10503161886971e-05	0	0	0	4.99596287214506e-07	4.04424291479712e-05	3.62336618902406e-07
"K00166"	0	0	0	0	9.80404107686315e-07	0	0	2.36546788587892e-05	0	0	0	0	1.10843838084006e-05	0
"K00167"	0	0	0	0	8.9401668438232e-07	0	0	2.75734577706187e-05	0	0	0	0	1.68027326661678e-05	0
"K00169"	4.29331637454602e-07	0	0	0	0	0	0	0	0	0	0	0	6.8558974882041e-07	0
"K00170"	2.43937863790884e-06	0	0	0	0	1.09836381118974e-06	0	0	0	0	0	2.25766316302293e-06	1.96981793526667e-06	1.49683371642834e-06
"K00171"	0	0	0	0	0	0	0	4.46027505574694e-07	0	0	0	0	3.19127413983161e-07	2.42883245309804e-07
"K00172"	0	0	2.46857397329679e-07	0	0	0	0	0	0	0	0	0	0	0
"K00174"	4.74095490415545e-06	1.60575956030538e-06	1.75412164273318e-06	4.17832195151799e-06	6.42776444158049e-06	1.23069532449536e-06	4.05131590403277e-06	2.40218523376439e-05	0	5.99960910407908e-06	3.7472693621297e-06	2.6465521540565e-06	1.70243777226657e-05	6.83763236728811e-06
"K00175"	3.3580143595566e-06	1.79066106565239e-06	1.51597882546117e-06	3.68791788280275e-06	3.8992815932666e-06	1.35187699736389e-06	3.63300502016239e-06	2.91514894053827e-05	2.15670319559845e-06	3.00635350231471e-06	1.69802651306736e-06	1.89331224551774e-06	1.77200094869698e-05	6.19937543872276e-06
"K00177"	8.56356272653588e-07	0	0	1.08655268581574e-06	9.43337877458139e-07	8.66156444203572e-07	1.36384433846056e-06	2.49510006518875e-06	0	0	8.16145626407507e-07	0	1.84402773259258e-06	1.17707349523947e-05
"K00179"	8.45687066034897e-06	6.77469941047694e-06	4.70115642726217e-06	5.50227592765118e-06	2.60697098602667e-06	1.04257347104627e-05	4.2431806904011e-06	2.06310714012845e-06	2.28422794216798e-06	2.40853387018121e-06	1.69666504725731e-06	1.54183197523679e-06	3.33411467822787e-06	3.65972762369427e-06
"K00180"	5.06763754263525e-06	0	3.1923420920799e-06	0	2.29906506918132e-06	3.19534435073188e-06	3.24510465517293e-06	1.432034158824e-06	0	0	0	0	2.43578105176731e-06	0
"K00184"	0	0	0	0	0	0	0	3.86505088440108e-06	0	0	0	0	1.12955300372184e-06	0
"K00185"	0	0	0	0	5.49329313301012e-07	0	0	1.41111270820158e-05	0	0	0	0	3.4200551112944e-06	0
"K00186"	0	0	0	0	0	0	0	1.70953295294722e-07	0	0	0	0	2.15380503308918e-07	0
"K00196"	0	0	0	0	0	0	0	1.97846733150608e-07	0	0	0	0	0	0
"K00198"	0	0	0	0	0	0	0	6.98289235804442e-07	0	9.98946749874404e-07	0	0	0	0
"K00201"	0	0	0	0	0	0	0	0	0	0	0	0	2.98581252992708e-07	0
"K00208"	9.91998562119296e-07	2.52796044271852e-06	8.71540309136264e-07	1.07105759756333e-06	5.07357178536767e-05	9.07332046973975e-07	3.99755825037693e-07	7.17202086714398e-05	2.46425887549236e-06	1.09181675972573e-06	9.63620118366204e-07	9.70456897210008e-07	4.63090413440354e-05	8.84287797799538e-06
"K00215"	6.35940509890763e-06	9.71725983137004e-07	1.03067469316329e-06	2.1748983957515e-06	4.28681594683573e-05	7.5684031509303e-07	1.3046073627762e-06	4.88862665280399e-05	1.46295928224963e-06	2.63326339466379e-06	7.18256380471726e-06	2.52485420767199e-06	3.55238422618913e-05	1.81388055893393e-06
"K00216"	0	0	0	0	5.02696602228084e-07	2.2455572204195e-07	0	1.38822300929173e-06	0	0	0	0	8.57553394151512e-07	0
"K00219"	4.55230948590597e-07	0	0	4.95967161840662e-07	2.83481400394503e-05	0	0	2.68765925945401e-05	0	0	0	0	2.26251582695943e-05	0
"K00221"	0	0	0	0	9.03132757040943e-06	0	0	2.61224179363293e-06	0	0	0	0	0	0
"K00226"	9.74391550578754e-06	1.72815469644395e-06	1.8752267194651e-06	3.88742929369355e-06	1.93790927003701e-05	8.51023717014865e-07	1.85191623993036e-06	3.30882069802676e-05	1.22965624892692e-06	2.7142466730771e-06	1.21894102991157e-05	1.65230124336168e-06	1.96164208967807e-05	5.42867307887642e-06
"K00228"	0	1.44679581216796e-07	0	5.82169995439292e-07	3.60996116189148e-05	0	0	3.91585449731947e-05	0	0	0	0	2.55138723975081e-05	1.5409672437355e-07
"K00230"	0	0	0	0	4.37905438871048e-07	0	0	4.85615397509351e-07	0	0	0	0	3.35494577260379e-07	0
"K00231"	0	0	0	0	2.56609953548015e-07	0	0	1.08680740216996e-05	0	0	0	9.63088980829134e-07	6.48946231717569e-06	0
"K00239"	1.7699526180195e-05	1.61063845833697e-05	1.41157898104815e-05	2.90916522681109e-05	9.60240205942448e-05	5.69333743006006e-06	2.97689490092552e-05	0.000114176782208243	1.46465889714724e-05	2.70264441228629e-05	3.24833371382924e-05	1.51185813565601e-05	7.3687920831257e-05	5.40096479486191e-05
"K00240"	6.12370254231865e-06	5.56348121438861e-06	5.82677928629237e-06	8.58586810592608e-06	5.45534760238626e-05	1.84611251044885e-06	1.07248975730024e-05	9.75936462703244e-05	6.17579083990165e-06	8.79942121137534e-06	1.22359762390357e-05	3.81524614241809e-06	6.13866877220798e-05	1.67210320516404e-05
"K00241"	0	0	2.25180437659072e-07	4.03865293630033e-07	1.00539753936046e-05	0	0	4.17005846285504e-05	0	0	0	0	2.56961058501678e-05	0
"K00242"	0	0	2.20355075943365e-07	4.79845948514338e-07	1.15634717771306e-05	2.57267264771062e-07	0	1.56106922535357e-05	0	0	0	0	1.19949518504852e-05	0
"K00243"	3.28838094483076e-07	0	3.45891971225153e-07	5.20141610917613e-07	1.53410430080382e-06	0	0	2.10603387576793e-05	0	9.01900689665934e-07	0	3.8979663337173e-07	9.53040690800391e-06	3.15720158285022e-07
