"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K13934",655.28,1678.36,1083.23,592.31,1650.93,1174.81,773.12,486.6,4830.59,616.08,613.48,662.06,644.97,460.3,321.04,3656.23
"K13935",618.28,1064.36,1040.23,589.31,1648.93,891.81,764.12,428.6,4351.59,616.08,626.48,657.06,591.97,460.3,321.04,3577.23
"K13936",610.28,979.96,1021.33,585.41,1646.16,882.38,650.7,404.92,4231.69,614.83,521.33,631.21,585,458.7,316.12,2381.08
"K13938",1012.59,1163.26,1677.56,674.77,1905.69,1142.66,1824.17,1842.86,7856.21,1174.34,1447.13,1060.34,1528.6,569.25,772.85,3837.8
"K13940",117.58,211.5,336.58,41.83,40.42,861.14,2897.33,337.92,521.87,2269.91,559.25,322.41,340.91,31.66,118.57,579
"K13941",7.33,8,19,1,1,6.83,8.83,15,315,2.5,1.67,0,0,0.5,4.33,3
"K13942",3.5,0.5,0,0,0,0.5,4.5,0,3,13,0,0.5,2.5,0,3.5,3.5
"K13950",440,145.4,162,75,124,2278.33,528,169,1115.33,814,1549.27,454,720.3,80.33,451.33,367.2
"K13953",2704.64,1789.98,2265.26,970.77,2300.68,3199.95,6031.65,3329.36,14210.01,7874.75,4961.35,1562.55,3925.03,692.27,1550.4,7414.34
"K13954",606.32,472.62,804.68,99.95,249.53,259.52,710.21,800.27,4236.15,620.48,1141.25,741.61,1843.94,308.74,518.88,3442.95
"K13955",8,6.5,18.5,0.17,0.17,9.33,57.05,3.33,87.88,3.62,1.05,4,16.12,5.5,23.12,4.38
"K13963",104.99,220.33,266.33,36.33,28.34,142.13,362,76.82,1000.04,148.34,607.01,71.66,759.34,27.49,125,298.67
"K13967",7,8,19,1,1,5.5,8.5,20,314,8.5,0,84,0,2.5,15,3
"K13979",1359.26,7825.46,6877.96,241.51,524.96,1258.08,4948.59,15492.7,9027.44,7197.42,4872.82,820.86,2634.67,506.01,1301.81,5170.24
"K13990",565,273,393,96,160,355,516,367,1388,224,560,444,1621,121,199,497.5
"K13993",20896.11,10516.63,10738.33,2102.5,5444.37,5789.4,15187.41,6070.26,44335.8,27184.46,33909.29,25243.31,37520.62,6841.3,63601.15,9654.46
"K13995",128.56,144.05,471.9,48.77,130.11,118.95,183.39,892.22,2913.85,694.93,645.22,124.46,574.79,38.97,158.64,464.63
"K13999",0,0,0,0,1,0,12,0,1,4,1,0,2,0,1,1
"K14048",142,93.5,106.5,28,46.5,28.83,1473,157.16,727.33,1678,151,359.5,962,24.5,126.94,1023.62
"K14051",763.98,6937.97,6879.9,624.36,1756.53,813.28,699.47,14605.94,6360.52,676.85,1508.47,501.8,1021.27,134.55,522.06,4332.72
"K14052",564.09,1038.66,865.13,89.67,203.96,594.93,858.43,1226.4,4552.78,728.26,1048.29,485.52,1041.23,446.02,453.43,2336.11
"K14053",299.67,190.42,831.5,563.59,1609.42,440.58,210.08,134.22,2920.17,114.92,255.75,308.59,354.84,78.83,268.42,1992.59
"K14054",1132.59,7735.26,7163.56,652.1,1807.69,1262.66,1179.88,14889.87,7795.54,999.2,1804.13,833.34,1362.6,527.25,715.85,4873.13
