"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"810096"	0	0	6.07459603936338e-05	0	0	0	0	0	6.99643181977192e-05	0	0	0	0	0	0	0	6.39345310402148e-05	0	3.3254630707326e-05	4.85861432319502e-05	3.69058163566578e-05	7.06838664074925e-05	4.7395611166406e-05	0	0	0	9.46461810265956e-05
"1001908"	7.39207569485512e-05	9.07399845742026e-05	0.000121491920787268	0	0	0	6.52954619653934e-05	4.11827691293963e-05	6.99643181977192e-05	0	0.000108268071745642	4.02252614641995e-05	0.000148397309062129	8.92283532015133e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"698417"	0	0	0	0	0	3.78873986512086e-05	0	0	0	0	3.60893572485474e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.35456350665588e-05	0
"249506"	0	0.000136109976861304	6.07459603936338e-05	0	0	0	6.52954619653934e-05	0	0	9.75102385750504e-05	3.60893572485474e-05	0	9.89315393747527e-05	0	4.22386483632524e-05	2.14132762312634e-05	0	0	0	0	0	3.53419332037462e-05	0	0	0	0	0
"4358255"	0	0	0	0	0	0	0	0	0	6.50068257167002e-05	3.60893572485474e-05	0	0	1.78456706403027e-05	4.22386483632524e-05	0	0	0	0	0	0	0	0	0	0	0	0
"211222"	0.000443524541691307	0.000544439907445216	0.000546713643542704	0	0	0	0.000130590923930787	0.000123548307388189	6.99643181977192e-05	0.0001300136514334	0.00014435742899419	8.0450522928399e-05	0.000197863078749505	8.92283532015133e-06	8.44772967265047e-05	0	0	0	3.3254630707326e-05	4.85861432319502e-05	3.69058163566578e-05	3.53419332037462e-05	0	5.92083839071613e-05	3.31532009415509e-05	7.35456350665588e-05	0
"249501"	0	0	0	3.15238635647185e-05	0.000126418254795993	3.78873986512086e-05	0	0	0	0	0	0	0	0	0	0	6.39345310402148e-05	6.21523353740017e-05	0	4.85861432319502e-05	7.38116327133156e-05	0	9.4791222332812e-05	5.92083839071613e-05	6.63064018831018e-05	7.35456350665588e-05	9.46461810265956e-05
"90311"	0	0	6.07459603936338e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3254630707326e-05	0	0	0	0	0	0	0	0
"370090"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15487270088652e-05
"2595969"	0	0	0	3.15238635647185e-05	6.32091273979963e-05	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	6.21523353740017e-05	6.6509261414652e-05	4.85861432319502e-05	3.69058163566578e-05	3.53419332037462e-05	4.7395611166406e-05	2.96041919535806e-05	0	0	3.15487270088652e-05
"2595968"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53419332037462e-05	0	0	0	0	3.15487270088652e-05
"815346"	7.39207569485512e-05	9.07399845742026e-05	0	0	0	0	9.79431929480901e-05	0	6.99643181977192e-05	0	7.21787144970948e-05	8.0450522928399e-05	0	1.78456706403027e-05	0	2.14132762312634e-05	6.39345310402148e-05	0	0	9.71722864639005e-05	0	7.06838664074925e-05	0	0	3.31532009415509e-05	0	3.15487270088652e-05
"804948"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	6.21523353740017e-05	0	0	3.69058163566578e-05	3.53419332037462e-05	9.4791222332812e-05	5.92083839071613e-05	0	0	0
"768560"	0	0	0	6.3047727129437e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	0	3.3254630707326e-05	4.85861432319502e-05	3.69058163566578e-05	3.53419332037462e-05	0	0	0	0	6.30974540177304e-05
"362172"	0	0	0	0	0	0	0	0	0	0	0.000108268071745642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"919487"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	0	0	0	0	0	0	0	0	0	0
"112959"	0	0	0	0	0	0	0	4.11827691293963e-05	0	0	0	0	0	0	0.000126715945089757	2.14132762312634e-05	0	0	0	0	0	0	0	0	0	0	0
"112952"	7.39207569485512e-05	0	0	0.000157619317823592	6.32091273979963e-05	0.000113662195953626	0	0	0	0	0	0	4.94657696873763e-05	0	0	0	3.19672655201074e-05	6.21523353740017e-05	0	9.71722864639005e-05	7.38116327133156e-05	0.000176709666018731	9.4791222332812e-05	0.000148020959767903	9.94596028246527e-05	7.35456350665588e-05	9.46461810265956e-05
"513055"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	0	0	4.85861432319502e-05	0	0	0	2.96041919535806e-05	0	0	0
"1110182"	7.39207569485512e-05	9.07399845742026e-05	0.000182237881180901	0	0	0	0.000359125040809664	0.000576558767811548	0.000419785909186315	0.000260027302866801	0.000252625500739832	0.000362027353177796	0.000296794618124258	2.6768505960454e-05	0.000168954593453009	4.28265524625268e-05	0	0	0	0	0	0	0	0	0	0	0
"400524"	0	0	0	0	0	0	0	0	0	0	0	0	0	8.92283532015133e-06	0	0	0	3.10761676870008e-05	0	0	0	0	0	0	0	0	0
"846759"	0.000591366055588409	0.00068054988430652	0.000485967683149071	6.3047727129437e-05	6.32091273979963e-05	3.78873986512086e-05	0.00039177277179236	0.000453010460423359	0.000629678863779472	0.000422544367158552	0.000577429715976758	0.000321802091713596	0.000346260387811634	2.6768505960454e-05	0.000253431890179514	8.56531049250535e-05	0	9.32285030610025e-05	3.3254630707326e-05	0	0	0.000141367732814985	0	0.000118416767814323	9.94596028246527e-05	0.000147091270133118	0
"4304781"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7395611166406e-05	0	3.31532009415509e-05	0	0
"589407"	0	0	0	3.15238635647185e-05	0	0	3.26477309826967e-05	0	0	0	0	0	0	0	4.22386483632524e-05	0	0	0	0	0	0	0	0	0	0	0	0
"582457"	0	0	0	0	0	0	0	0	0	0	0	8.0450522928399e-05	4.94657696873763e-05	8.92283532015133e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"337903"	0	0	0	0	0	7.57747973024172e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.6509261414652e-05	0	0	0	4.7395611166406e-05	2.96041919535806e-05	3.31532009415509e-05	0	0
"709657"	0	0	0	0	0	0	3.26477309826967e-05	0	6.99643181977192e-05	0	0	0	4.94657696873763e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"337909"	0	0	0	3.15238635647185e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.85861432319502e-05	3.69058163566578e-05	0	0	0	3.31532009415509e-05	0	0
"265330"	0	4.53699922871013e-05	0	9.45715906941555e-05	0.000252836509591985	7.57747973024172e-05	9.79431929480901e-05	0	0.000209892954593157	0.000162517064291751	0	4.02252614641995e-05	4.94657696873763e-05	0	0	2.14132762312634e-05	0.000191803593120644	3.10761676870008e-05	3.3254630707326e-05	4.85861432319502e-05	0.000221434898139947	3.53419332037462e-05	9.4791222332812e-05	5.92083839071613e-05	0.000132612803766204	7.35456350665588e-05	9.46461810265956e-05
